# DDL
DROP DATABASE join_limit
CREATE DATABASE join_limit

# DML
# CONTEXT-DATABASE: join_limit

J1_TBL i=1i,j=4i,t="one" -9223372036854775800
J1_TBL i=2i,j=3i,t="two" 9223372036854775806
J1_TBL i=3i,j=2i,t="three" -9223372036854765806
J1_TBL i=4i,j=1i,t="four" 9223172036854775806
J1_TBL i=5i,j=0i,t="five" 1578790800002000000
J1_TBL i=6i,j=6i,t="six" 1578790810000000000
J1_TBL i=7i,j=7i,t="seven" 2578799800000000000
J1_TBL i=8i,j=8i,t="eight" 8223372036854775806
J1_TBL i=0i,t="zero" 2578790800000000000
J1_TBL t="null" 1478790800000000000
J1_TBL j=0i,t="zero" 3578790800000000000
J2_TBL i=1i,k=-1i 1576790800000000000
J2_TBL i=2i,k=2i -8223372036854775806
J2_TBL i=3i,k=-3i 1223372036854775806
J2_TBL i=2i,k=4i 1578890800000000000
J2_TBL i=5i,k=-5i 1578780800000000000
J2_TBL i=5i,k=-5i 9023372036854775806
J2_TBL i=0i 9003372036854775806
J2_TBL k=0i 1578770800000000000
J3_TBL i=1i,t="first" 9123372036854775806
J3_TBL i=2i 9223172036854775806
J3_TBL i=2i,t="second" -9113372036854775806
J3_TBL i=3i,t="third" 1577790800000000000
J3_TBL i=4i,t="forth" 1578710800000000000
J3_TBL i=5i,t="five" 1278790800000000000
